ジョブクラフティングとは　ズバリ何でしょうか？,2,①仕事の後に飲む地元のクラフトビールは美味しいということ。,②働いている人が働きやすくなるように、自分で仕事のやり方や認識を工夫すること。,③仕事をする団体、つまり会社の別の言い方。,正解:②働いている人が働きやすくなるように、自分で仕事のやり方や認識を工夫すること。　　解説:ジョブクラフティングとはジョブ(=仕事)をクラフト(=作る)、つまり働き方を工夫する・修正するということです。　自分にあった働き方に自分で変えていくことで、より働きやすい環境にしていきましょう。
ジョブクラフティングをするとどんな効果が得られるでしょうか？,1,①仕事のストレスの低減やモチベーションのアップにつながる。,②ライバル企業の売り上げが激減する。,③仕事のストレス増加やモチベーションのダウンにつながる。,正解:①仕事のストレスの低減やモチベーションのアップにつながる。　　解説:ジョブクラフティングで働きやすくしていくことは、ストレスの低減や健康的な活力の増加に繋がります。　また一度きりではなく継続していくことで、仕事の意味ややりがいを見出して自己実現する手助けにもなります。
ジョブクラフティングの悪影響とは何でしょうか？,3,①そんなものはない。ジョブクラフティングは誰にでも良いものだ。,②アプリなんて形をしているがジョブクラフティングは新興宗教と同じだ,③筋トレや薬と同じ。適切に使わないと悪影響もある。,正解:③筋トレや薬と同じ。適切に使わないと悪影響もある。　　解説:ジョブクラフティングは仕事をやりやすい様に工夫・修正することです。　自分勝手な工夫で周りの人に迷惑をかけてしまうことや、自分に甘くなりすぎて生産性が下がってしまうことなどの悪影響が出ることもあります。
ジョブクラフティングの悪影響を避けるにはどうすればいいでしょうか？,3,①危ないことはやらない方がいい。,②気が向いた時にだけほどほどにやる。,③ジョブクラフティングのコツを学んで正しく行う。,正解:③ジョブクラフティングのコツを学んで正しく行う。　　解説:実は②も正解ですが、「気が向いた時に行うほどほどの仕事の工夫」というと今でもやっていますよね(実はこれも無意識のジョブクラフティングです)。　このアプリで工夫を思いつきやすいコツを知ること、そして思いついた工夫を上司や同僚に話してみることが大切です。,自分が働きやすい環境を自分で作るための工夫、それがジョブクラフティングです。　　次の章ではどんな方法のジョブクラフティングがあるのか見ていきましょう。
ジョブクラフティングで工夫を探すポイントとして「３つの実践方法」と「自分の３つの軸」があります。　では「３つの実践方法」とは次のうちどれでしょうか？,1,①タスクの工夫、認知の工夫、人間関係の工夫,②タスクの工夫、仕事の工夫、ジョブの工夫,③友情、努力、勝利,正解:①タスクの工夫、認知の工夫、人間関係の工夫　　解説:ジョブクラフティングを行う時の解決方法としては大きく３つの選択肢があり、　タスクの工夫・認知の工夫・人間関係の工夫です。　順番に詳しく見ていきましょう。
タスクの工夫とは「仕事の具体的仕事の内容や方法」について工夫・修正することです。　では、次のジョブクラフティングの例のうち、タスクの工夫を行っているものはどれでしょうか？,1,①メールチェックにかかる時間が長かったことに気づいたので、毎日決まった時間にだけチェックするようにした。,②単調な事務作業に飽きていたが、かかった時間を測ることでゲーム性を見出した。,③仕事でわからないことがあったので、同じ部署で仲がいい上司に聞いてみることにした。,正解:①メールチェックにかかる時間が長かったことに気づいたので、毎日決まった時間にだけチェックするようにした。　　解説:ルーティーン化でメリハリをつけたり、仕事のために勉強する時間を確保するなど、自分の行動・やり方を変えることで解決していくのがタスクの工夫です。　自分がやり方を変えたことで周りに迷惑をかけていないかには気を配りましょう。
認知の工夫とは「仕事についての考え方・捉え方」について工夫・修正することです。　では、次のジョブクラフティングの例のうち、認知の工夫を行っているものはどれでしょうか？,2,①メールチェックにかかる時間が長かったことに気づいたので、毎日決まった時間にだけチェックするようにした。,②単調な事務作業に飽きていたが、かかった時間を測ることでゲーム性を見出した。,③仕事でわからないことがあったので、同じ部署で仲がいい上司に聞いてみることにした。,正解:②単調な事務作業に飽きていたが、かかった時間を測ることでゲーム性を見出した。　　解説:自分がやっている仕事の意味・効果について考えることでメンタルの問題を解決するのが認知の工夫です。　心の健康は体の健康や生産性アップにもつながるので、軽視されがちですが大切な工夫です。
人間関係の工夫とは「職場での人間関係」について工夫・修正することです。　では、次のジョブクラフティングの例のうち、人間関係の工夫を行っているものはどれでしょうか？,3,①メールチェックにかかる時間が長かったことに気づいたので、毎日決まった時間にだけチェックするようにした。,②単調な事務作業に飽きていたが、かかった時間を測ることでゲーム性を見出した。,③仕事でわからないことがあったので、同じ部署で仲がいい上司に聞いてみることにした。,正解:③仕事でわからないことがあったので、同じ部署で仲がいい上司に聞いてみることにした。　　解説:職場内での人間関係を活かして問題解決したり、人との付き合い方を見直したりするのが人間関係の工夫です。　「取引先のお客さんとの交流を増やす」など会社内の人だけとは限りません。　いろんな工夫のカギがあります。,タスクの工夫・認知の工夫・人間関係の工夫、働きやすさを実現するために問題にあわせた様々な方法がありました。　では、ジョブクラフティングの悪影響を避けたり、より効果の高い＝より自分に合っている働き方の工夫を思いつくにはどのようにすれば良いのでしょうか？　次はジョブクラフティングの方向性を決めるコツ「自分の３つの軸」について見ていきましょう。
ジョブクラフティングの「自分の3つの軸」とは、自分が働きやすいと感じる働き方はどういったものなのか？という指標にするためのものです。　その3つの軸とは次のうちどれでしょうか？,2,①情熱・思想・理念,②動機・強み・情熱,③やる気・元気・勇気,正解:②動機・強み・情熱　　解説:動機・強み・情熱の3つの軸から見直すことで、自分らしい働きやすい働き方を探しやすくします。　それぞれ見ていきましょう。
ジョブクラフティングでの「動機」とは働きたいと思わせる要因になるような「仕事をすることで得られる・得たい物」を指します。　次のうち動機に沿ったジョブクラフティングはどれでしょうか？,2,①インスタグラムを見るのが好きなので、最新トレンドを追いかけるマーケティング部への異動希望を出した。,②お客さんに感謝されることが嬉しいので、ただ仕事をするだけでなく笑顔を心がけることにした。,③誰にでも気軽に話しかけることができることを活かしてお客さんの隠れたニーズを引き出すことを意識するようにした。,正解:②お客さんに感謝されることが嬉しいので、ただ仕事をするだけでなく笑顔を心がけることにした。　　解説:「②お客さんに感謝されることが嬉しいので、ただ仕事をするだけでなく笑顔を心がけることにした。」は感謝されると嬉しいという動機を笑顔で接するという人間関係の工夫で解決した例ですね。　このように「軸」に沿って考えることでゴールを見つけやすくして解決法を考えていきます。
ジョブクラフティングでの「強み」とは自分が持っているスキルを指します。　次のうち強みに沿ったジョブクラフティングはどれでしょうか？,3,①インスタグラムを見るのが好きなので、最新トレンドを追いかけるマーケティング部への異動希望を出した。,②お客さんに感謝されることが嬉しいので、ただ仕事をするだけでなく笑顔を心がけることにした。,③誰にでも気軽に話しかけることができることを活かしてお客さんの隠れたニーズを引き出すことを意識するようにした。,正解:③誰にでも気軽に話しかけることができることを活かしてお客さんの隠れたニーズを引き出すことを意識するようにした。　　解説:気軽に話しかけられるという「強み」を活かした工夫でした。　実は②と③は元々はセットで、笑顔で話しかけることでニーズを引き出し感謝されやすくなるという工夫でした。　複数の軸を同時に取り入れる工夫はより効果が高くなります。
ジョブクラフティングでの「情熱」とは自分が興味関心を持っていること・注力したい対象を指します。　次のうち情熱に沿ったジョブクラフティングはどれでしょうか？,1,①インスタグラムを見るのが好きなので、最新トレンドを追いかけるマーケティング部への異動希望を出した。,②お客さんに感謝されることが嬉しいので、ただ仕事をするだけでなく笑顔を心がけることにした。,③誰にでも気軽に話しかけることができることを活かしてお客さんの隠れたニーズを引き出すことを意識するようにした。,正解:①インスタグラムを見るのが好きなので、最新トレンドを追いかけるマーケティング部への異動希望を出した。　　解説:「インスタグラムを見るのが好き」という情熱に沿った工夫の例でした。　強みや情熱は今仕事と関係していなくても、工夫に使えるヒントになります。,これでジョブクラフティング基礎編は終わりです！　　自分の３つの軸:動機・強み・情熱で自分自身に沿った働き方の方向性を明確にして、３つの実践方法:タスクの工夫・認知の工夫・人間関係の工夫で働き方を修正する。複数の軸に沿った工夫ができるとより効果的なジョブクラフティングになります。　　次は具体的なケースを見てジョブクラフティングのイメージを膨らませていきましょう。
ある企業の人事部で給与計算業務を担当しているAさんがジョブクラフティングに挑戦しています。Aさんは3つの軸を以下の様に書き出しました。　動機:仕事を通じて自分のスキルアップを目指したい　強み:人に物事を教える説明力が高い　情熱:趣味で競馬をやっている　　ではAさんの「反復作業でやりがいが薄い」という問題を解決する工夫を考えてみましょう。,3,①エクセルの資格試験のために勉強し、その知識を使って業務を効率化した。,②説明力を活かして人事部内の教育担当を希望した。,③趣味の競馬からヒントを得て、人事チェックリストから誰が次に出世するか想像する楽しさを見出した。,正解:③趣味の競馬からヒントを得て、人事チェックリストから誰が次に出世するか想像する楽しさを見出した。　　解説:ジョブクラフティングには人それぞれの正解があるので、どれを選んでも間違いではありませんし①の方が有用なことが多いでしょう。　この場合は「作業に意味を見出す」という解決方法に近かった③を正解としました。　実践するときは色々なアイディアを出しながら自分に合うものを選んでいきましょう。
社員の出世予想というやりがいを見出したAさんは、次第に仕事ができる社員の違いを見極められるようになってきました。　そこでAさんは新しい仕事の工夫を思いつきそうです。,1,①仕事ができる人材を見極める能力を活かして、人事部の中で採用課への異動を希望した。,②出世予想で同僚と賭けを始めた。,③一度ジョブクラフティングに成功しているので、特に変えなかった。,正解:①仕事ができる人材を見極める能力を活かして、人事部の中で採用課への異動を希望した。　　解説:日々働く環境は変化していますし、あなた自身も強みが増したり新しい動機を見出したりと変化しています。　Aさんはジョブクラフティングにジョブクラフティングを重ねることで、相乗効果を生み出していました。
採用課で能力を存分に発揮したAさんは、仕事にやりがいを感じていきいきと働けるようになりました。　次のうち、Aさんが無意識にしていたジョブクラフティングはどれでしょう？,2,①仕事ができる人材を見極める能力を活かして、人事部の中で採用課への異動を希望した。,②単純な計算業務をしている自分から、計算業務を通じて社員の能力を見極めるスペシャリストとしての自分へと自己認識が変化した。,③趣味の競馬からヒントを得て、人事チェックリストから誰が次に出世するか想像する楽しさを見出した。,正解:②単純な計算業務をしている自分から、計算業務を通じて社員の能力を見極めるスペシャリストとしての自分へと自己認識が変化した。　　解説:Aさんは自分自身を人事部のスペシャリストと捉える認知の工夫を無意識に行っていました。　,Aさんのケースでは１つの悩みに対して工夫を積み重ねることで、より大きな枠組みで自分を捉えることができるようになりました。　　モデルケースのクイズはあくまで自分の工夫を発想するための「ヒント」です。　ジョブクラフティングのイメージが掴めた人はStage2の実践編に進んでみるのも良いでしょう。
システムエンジニアのBさんは3つの軸を以下の様に書き出しました。　動機:自分の力で成し遂げたという達成感　強み:誰とでも話しやすい性格をしている　情熱:コードを書くことに楽しさを感じる　初めてプロジェクトリーダーを任されたBさんはコードを書いている時間が急に減ったので、モチベーションが下がってしまいました。工夫を考えてみましょう。,2,①任された仕事をやり遂げることが重要なので、諦めて頑張る。,②過去に自分が参加したプロジェクトのリーダーである先輩に助言を求め、チームの管理業務にかかる時間を短縮する。,③管理業務を自動化するシステムを自分で組む。,正解②過去に自分が参加したプロジェクトのリーダーである先輩に助言を求め、チームの管理業務にかかる時間を短縮する。　　解説:③も正解ですが周りの人がシステムに合わせなければならないので、きちんと導入方法を説明しないとジョブクラフティングの悪影響が出やすいです。　②は誰とでも話しやすいという強みを活かしてより業務に詳しい先輩に話を聞くという人間関係の工夫をし、その結果管理業務にかける時間を短縮するというタスクの工夫も同時に狙ったものです。
順調にプロジェクトリーダーとして働き始めたBさん。　次第にコードを書く時間が短くなっていきましたが、管理業務自体にやりがいを感じる様になってきました。　Bさんの何が変化したのでしょう？,1,①動機,②強み,③情熱,正解:①動機　　解説:もともとあった「自分の力でやり遂げたという達成感」という動機の対象が、自分の作業結果だけでなくチームとしてのプロジェクトの進展に拡張したと考えられます。　自分の軸が変化したことに気づいたら、都度更新していきましょう。
プロジェクトリーダーとして意欲的に働いているBさんは、モチベーションが下がっているチームメンバーに気がつきました。　誰とでも話せるという強みを活かして相談に乗りましたが、自分が体験してきていな悩みだったのでうまく答えてあげられませんでした。,1,①チームマネジメントの研修を受けて相談に乗ってあげられるようになる,②このアプリを紹介する,③仕方ないので自分でメンバーの分の作業を巻き取る,正解:①チームマネジメントの研修を受けて相談に乗ってあげられるようになる　　解説:②もおすすめですが、Bさんの動機の「達成感」に沿うように、Bさん自身の強みを増やしていける研修受講を正解としました。,自分の軸から工夫を考えることだけでなく、自分の軸の変化に気づいたり自分の軸を増やす方向に考えるのも大切なポイントです。
新入社員サラリーマンのCさんはどうにもモチベーションが上がらず、自分の軸を書き出そうとしても何も思いつきませんでした。　Cさんにどのようなアドバイスをしてあげると良いでしょうか？,1,①「100%できること・夢中になることじゃなくても、自分の軸として書き出してみるといいですよ」,②「行動あるのみ！自分が抱えている問題を解決する方法をなんとか考えよう」,③「やっぱり軸がないと工夫の方針がぶれやすくなってしまうからどうにか軸を書き出してみましょう」,正解:①　　解説:まず大前提として本当に何をしてもやる気がでない場合、抑うつ傾向にある可能性があります。その場合は無理をせず心療内科や社内カウンセリングを利用してください。心の健康が最優先です。　　「100%できるようになるまで始められない」という新しいタイプの完璧主義があります。　同僚と比べたらできていないことでも社会一般と比べたら十分できる方だ、という認知の工夫から入るとやりやすいことがあります。
8割程度でも良いと考えるようになったCさん　動機:家族を養える給料を稼ぎたい　強み:謙虚な姿勢で人とコミュニケーションできる　情熱:職場付近のおいしいランチを食べるのが好き　と書き出すことができました。　仕事が同僚より遅いことを気にしていたCさんと一緒により良い工夫を考えてみましょう。,3,①仕事を早く終わらせるために急ぐ意識を常に持つ,②一般の人よりも忙しい会社なので、その中で一番遅くても深く考えすぎない。,③強みを活かして仕事ができる同僚にコツを聞いてみる。,正解:③強みを活かして仕事ができる同僚にコツを聞いてみる。　　解説:②の考え方も1問目に引き続き有効です。　ただ家族のためにとやる気が出せるのであれば、関係性の工夫を使って自分のスキルを高める方が長期的には望ましいでしょう。
仕事に慣れてきたCさんですが、一方的に教えてもらうばかりなのが後ろめたくなってしまいました。　ここで使える工夫を考えてみましょう。,2,①仕事ができる様になったという結果で答える。,②いつも仕事を教えてもらっている同僚に、おいしいお昼ご飯のお店を紹介する。,③気にしないように心がけるしかない。,正解:②いつも仕事を教えてもらっている同僚に、おいしいお昼ご飯のお店を紹介する。　　解説:業務内容の外側であっても、働きやすくするための工夫であれば立派なジョブクラフティングです。　あなたの軸を活かせるためにどんな手段があるのか？　考えることはジョブクラフティング力の向上に繋がります。,これでモデルケース編もおしまいです。　実践編であなた自身の仕事の工夫を考えてみましょう。　アイデアに詰まったら練習編にヒントがあるかもしれません。
